frames,dates,mjd,telem_status,expstarts,expstops,airmasses,frieds,tau0,theta0,dimms,dimmtimes,masses,masstimes,masswts0,masswts500,masswts1000,masswts2000,masswts4000,masswts8000,masswts16000,windspds,winddirs,temps,skystrehls,maosstrehls-psd+ncpa-unseen,maos_stds_strehls-psd+ncpa-unseen,skyfwhms,skyempfwhms,maosfwhms-psd+ncpa-unseen,maosempfwhms-psd+ncpa-unseen,maos_stds_fwhms-psd+ncpa-unseen,maos_stds_emp_fwhms-psd+ncpa-unseen,lbwfsfwhms,skyrmswfes,maosrmswfes-psd+ncpa-unseen,maos_stds_rmswfes-psd+ncpa-unseen,lgsrmswfes,totmaoswfe-psd+ncpa-unseen,homaoswfe-psd+ncpa-unseen,ttmaoswfe-psd+ncpa-unseen,DM_fitting_errors
c0199,20150809,57243.27053,False,06:29:33.663,06:30:16.138,1.5315,0.12275271396168665,0.004882468766840204,2.951107456948489,0.82,6:30:57,0.14,6:30:27,0.9472561121315589,5.113847429203798e-07,0.02930861174840121,6.326617570516951e-10,0.0005942573692434452,2.4053274469377546e-09,0.02284050432806439,7.716666666666667,143.0,4.1494,0.23996742069721222,0.24711079207060482,0.020116184294058998,56.07625815670922,55.0137244086197,52.36195324408706,52.944083315099846,0.5204179867955542,2.411542103836684,1.020068,403.94962141465675,399.99044542280325,11.698346680224208,111.2,466.8513474437417,399.7656115258703,240.26826995259245,1568.765992441452
c0207,20150809,57243.27535,False,06:36:30.079,06:37:12.553,1.52504,0.1597733737279096,0.009941972968589887,3.2822409835414184,0.63,6:36:56,0.18,6:36:26,0.8757088606283747,0.036067324245611335,0.04892610941143799,3.732183987154565e-09,0.0053316914102208065,0.006617569926803471,0.0273484406453679,4.630000000000001,162.0,4.1275,0.25883749127388,0.3824797295749285,0.014823610966697105,54.73380057090351,55.0137244086197,50.745644268721385,51.7383122631815,0.19608940592243004,2.088456724218339,0.992722,393.0915498417738,331.4618923670919,6.63544078153224,165.3,363.1044396649443,289.8705807197282,218.61521984815897,1259.4001684630794
c0208,20150809,57243.27594,False,06:37:20.774,06:38:03.249,1.52432,0.1597733737279096,0.010605506242047567,2.995983178471004,0.63,6:36:56,0.22,6:37:55,0.8246814398251718,0.07934811334034492,0.06115763676429746,1.0475205476551463e-09,4.014450002989783e-10,1.5430542198991974e-12,0.03481280861967702,4.115555555555556,162.0,4.1227,0.2343706488609314,0.3725328177073545,0.018186481394057475,56.21949604779924,55.0137244086197,50.711485106388075,54.14985436701819,0.16132265401154236,2.088456724218339,0.992722,407.27555079516463,336.01155058537006,8.250320667593858,165.3,368.27543835105723,292.7669418888015,223.28474709216823,1259.4001684630794
c0210,20150809,57243.27711,False,06:39:02.661,06:39:45.139,1.52303,0.18640226934922785,0.009239545956081957,2.5125906197812653,0.54,6:39:55,0.19,6:39:25,0.8277625972043984,0.06893550920210291,4.784935344616555e-09,7.542355712700671e-10,0.0429833175024877,0.003953654204238256,0.05636491634760179,5.658888888888889,156.0,4.1138,0.19953137636184692,0.39562293020123795,0.009511306551018919,60.619764964827176,57.26009980271185,50.709955860647995,51.7383122631815,0.23993630316281428,2.088456724218339,0.992722,429.26971747106404,325.5473063188559,4.2072054441515645,165.3,354.8400482339444,277.8560570923136,220.52264554490017,1107.5791093838425
c0256,20150809,57243.31121,False,07:28:08.833,07:28:51.308,1.53163,0.11061233565778356,0.005806606034177245,2.8007528620614752,0.91,7:28:31,0.09,7:28:1,0.9787598172812233,4.808774897635364e-13,2.056048631144449e-09,3.2624903899151584e-09,2.701749854148491e-09,2.888663366070713e-09,0.02124017180934348,5.658888888888889,157.0,3.9004,0.30363619327545166,0.20169187791182464,0.01592940671120024,53.4489808907402,52.67163104744902,53.99044870007163,56.464446336632506,0.9346783755398858,1.9205341659445785,0.94176,369.1486975390313,428.0088961927369,10.355458676281412,84.8,517.1495103754598,454.48328619467594,246.02010537681528,1710.9912272089252
c0257,20150809,57243.3118,False,07:28:59.637,07:29:42.113,1.53259,0.11061233565778356,0.004644310901958379,2.7979464050722913,0.91,7:28:31,0.09,7:28:1,0.9787598172812233,4.808774897635364e-13,2.056048631144449e-09,3.2624903899151584e-09,2.701749854148491e-09,2.888663366070713e-09,0.02124017180934348,7.202222222222223,150.0,3.9244,0.2657420039176941,0.18841532977192346,0.029341585299141548,55.30466400856885,53.85541101182941,54.73159495891668,57.49651168259395,2.330738654389184,3.708123781880941,0.911461,389.24442329171376,437.9522168172275,21.420931343042277,96.2,541.5977262071216,480.20482166457504,249.19353337887424,1710.9912272089252
c0258,20150809,57243.31239,False,07:29:50.476,07:30:32.951,1.53355,0.18640226934922785,0.0076664842294320865,2.4989856539352084,0.54,7:30:0,0.15,7:31:1,0.878795124136075,1.9585794673303358e-08,0.0592034373147472,1.97885461709566e-09,9.002166495804027e-09,0.001581461681695302,0.060419946300666674,7.202222222222223,161.0,3.9177,0.2655252516269684,0.3924287732548495,0.003511886891438122,56.47983571166771,53.85541101182941,50.57142857142858,52.94408331509984,0.0,2.411542103836684,0.989412,389.36424018498366,326.9472585003233,1.563365916694927,93.0,355.4508747149054,275.7883200175284,224.16993571769407,1107.5791093838425
c1080,20150514,57156.5682,False,13:38:13.592,13:38:56.067,1.57738,0.13788661020353843,0.006919069360390993,0.4429968706252606,0.73,13:39:28,1.25,13:38:57,0.37018277557322604,0.10000941038413658,0.07644031366940374,0.003006652337663214,0.17326471098398183,0.19683380769871464,0.08026232935287393,5.658888888888889,102.0,-4.1991,0.035643111914396286,0.16961778339557032,0.014286055375546195,113.13865967217032,130.47650377502845,62.95047387658731,63.8564420928423,3.985652233496705,2.8311053092906246,1.122386,617.4085699724079,450.6095356484399,10.912538622024849,124.9,537.1882335667424,395.56265614016615,362.58286621817433,1423.9093417586237
c1081,20150514,57156.56881,False,13:39:06.219,13:39:48.693,1.57942,0.13788661020353843,0.006919069360390993,0.4420817363292134,0.73,13:39:28,1.25,13:38:57,0.37018277557322604,0.10000941038413658,0.07644031366940374,0.003006652337663214,0.17326471098398183,0.19683380769871464,0.08026232935287393,5.658888888888889,102.0,-4.2271,0.048776961863040924,0.1691380672270653,0.014557933840548083,103.42865745685997,115.61611165306957,63.10815530794625,63.8564420928423,3.9925746920146916,2.8311053092906246,1.160326,587.6463966044699,450.9821641587165,11.11774000439993,202.6,537.7327367519306,395.7767445167783,363.1207774317168,1423.9093417586237
c1082,20150514,57156.5694,False,13:39:56.929,13:40:39.404,1.58134,0.13788661020353843,0.006919069360390993,0.4412232363622916,0.73,13:39:28,1.25,13:38:57,0.37018277557322604,0.10000941038413658,0.07644031366940374,0.003006652337663214,0.17326471098398183,0.19683380769871464,0.08026232935287393,5.658888888888889,102.0,-4.2273,0.04302690923213959,0.1689649191887008,0.014360674229469884,108.56712029030012,122.5007950524539,63.12020187385991,63.8564420928423,3.9566850796366357,2.8311053092906246,1.104421,599.7239119393951,451.1043319646165,10.993829574942378,261.2,537.8791130515303,395.9261130581414,363.1945337128912,1423.9093417586237
